mSec,N-M,Degrees,Degrees,Deg/Sec
5940,32.1,195,60,0
5950,32.1,195,60,0
5960,32.3,195,60,0
5970,32.3,195,60,0
5980,32.3,195,60,0
5990,32.3,195,60,0
6000,32.3,195,60,0
6010,32.3,195,60,0
6020,32.3,195,60,0
6030,32.3,195,60,0
6040,32.3,195,60,0
6050,32.3,195,60,0
6060,32.1,195,60,0
6070,32.1,195,60,0
6080,32.3,195,60,0
6090,32.1,195,60,0
6100,32.1,195,60,0
6110,32.1,195,60,0
6120,32.1,195,60,0
6130,32.1,195,60,0
6140,32.1,195,60,0
6150,32.1,195,60,0
6160,32.1,195,60,0
6170,32.1,195,60,0
6180,32.1,195,60,0
6190,32.1,195,60,0
6200,32.3,195,60,0
6210,32.1,195,60,0
6220,32.1,195,60,0
6230,32.1,195,60,0
6240,32,195,60,0
6250,32,195,60,0
6260,31.9,195,60,0
6270,31.9,195,60,0
6280,31.7,195,60,0
6290,31.7,195,60,0
6300,31.9,195,60,0
6310,31.7,195,60,0
6320,31.7,195,60,0
6330,31.7,195,60,0
6340,31.7,195,60,0
6350,31.7,195,60,0
6360,31.6,195,60,0
6370,31.6,195,60,0
6380,31.6,195,60,0
6390,31.6,195,60,0
6400,31.6,195,60,0
6410,31.5,195,60,0
6420,31.6,195,60,0
6430,31.6,195,60,0
6440,31.7,195,60,0
6450,31.7,195,60,0
6460,31.7,195,60,0
6470,31.9,195,60,0
6480,31.9,195,60,0
6490,31.9,195,60,0
6500,31.7,195,60,0
6510,31.7,195,60,0
6520,31.6,195,60,0
6530,31.6,195,60,0
6540,31.6,195,60,0
6550,31.6,195,60,0
6560,31.5,195,60,0
6570,31.5,195,60,0
6580,31.5,195,60,0
6590,31.3,195,60,0
6600,31.3,195,60,0
6610,31.2,195,60,0
6620,31.1,195,60,0
6630,31.1,195,60,0
6640,30.9,195,60,0
6650,30.8,195,60,0
6660,30.9,195,60,0
6670,30.8,195,60,0
6680,30.6,195,60,0
6690,30.5,195,60,0
6700,30.6,195,60,0
6710,30.5,195,60,0
6720,30.5,195,60,0
